"","code","word","psychometric"
"1",17000,"In",380.275294117647
"2",17001,"Ireland's",335.850588235294
"3",17002,"County",296.042941176471
"4",17003,"Limerick,",481.85
"5",17004,"near",403.553529411765
"6",17005,"the",306.075882352941
"7",17006,"River",289.048235294118
"8",17007,"Shannon,",321.790588235294
"9",17008,"there",346.305294117647
"10",17009,"is",306.631176470588
"11",17010,"a",281.776470588235
"12",17011,"quiet",258.036470588235
"13",17012,"little",298.043529411765
"14",17013,"suburb",292.322941176471
"15",17014,"by",335.392941176471
"16",17015,"the",262.949411764706
"17",17016,"name",243.014117647059
"18",17017,"of",244.768823529412
"19",17018,"Garryowen,",306.267647058824
"20",17019,"which",527.038823529412
"21",17020,"means",324.441764705882
"22",17021,"""Garden",321.340588235294
"23",17022,"of",310.265294117647
"24",17023,"Owen.""",487.591764705882
"25",17024,"Undoubtedly",432.865882352941
"26",17025,"none",377.055882352941
"27",17026,"of",269.103529411765
"28",17027,"the",256.218235294118
"29",17028,"residents",264.678823529412
"30",17029,"realize",326.957647058824
"31",17030,"the",299.538235294118
"32",17031,"influence",268.408235294118
"33",17032,"their",296.784705882353
"34",17033,"town",296.241764705882
"35",17034,"has",361.435882352941
"36",17035,"had",266.380588235294
"37",17036,"on",256.783529411765
"38",17037,"American",285.160588235294
"39",17038,"military",348.184705882353
"40",17039,"history,",302.555882352941
"41",17040,"or",369.608235294118
"42",17041,"the",260.264705882353
"43",17042,"deeds",249.578235294118
"44",17043,"of",290.529411764706
"45",17044,"valor",245.777058823529
"46",17045,"that",270.422941176471
"47",17046,"have",247.638235294118
"48",17047,"been",271.337647058824
"49",17048,"done",319.160588235294
"50",17049,"in",281.868235294118
"51",17050,"its",245.440588235294
"52",17051,"name.",239.493529411765
"53",17052,"The",300.727647058824
"54",17053,"cry",274.916470588235
"55",17054,"""Garryowen!""",493.405294117647
"56",17055,"Bursting",722.053529411765
"57",17056,"from",356.945294117647
"58",17057,"the",273.351764705882
"59",17058,"lips",265.301764705882
"60",17059,"of",253.224117647059
"61",17060,"a",247.412941176471
"62",17061,"charging",307.342352941177
"63",17062,"cavalry",346.479411764706
"64",17063,"trooper",308.222941176471
"65",17064,"was",291.204705882353
"66",17065,"the",274.834705882353
"67",17066,"last",243.74
"68",17067,"sound",258.343529411765
"69",17068,"heard",250.176470588235
"70",17069,"on",288.148235294118
"71",17070,"this",274.436470588235
"72",17071,"earth",296.531176470588
"73",17072,"by",266.506470588235
"74",17073,"untold",288.919411764706
"75",17074,"numbers",324.623529411765
"76",17075,"of",311.338823529412
"77",17076,"Cheyennes,",288.509411764706
"78",17077,"Sioux",500.071176470588
"79",17078,"and",363.692352941176
"80",17079,"Apaches,",378.907058823529
"81",17080,"Mexican",377.603529411765
"82",17081,"banditos",332.722352941176
"83",17082,"under",419.497647058824
"84",17083,"Pancho",360.581764705882
"85",17084,"Villa,",353.039411764706
"86",17085,"Japanese",429.905882352941
"87",17086,"in",286.371764705882
"88",17087,"the",268.291764705882
"89",17088,"South",240.983529411765
"90",17089,"Pacific,",297.775294117647
"91",17090,"and",359.818235294118
"92",17091,"Chinese",412.837647058824
"93",17092,"and",286.322352941176
"94",17093,"North",321.412352941176
"95",17094,"Korean",282.087647058824
"96",17095,"Communists",298.685882352941
"97",17096,"in",309.431764705882
"98",17097,"Korea.",355.461176470588
"99",17098,"Garryowen",353.891176470588
"100",17099,"is",693.040588235294
"101",17100,"the",330.009411764706
"102",17101,"battle",300.56
"103",17102,"cry",276.014117647059
"104",17103,"of",275.827058823529
"105",17104,"the",269.522352941176
"106",17105,"7th",279.052941176471
"107",17106,"U.S.",282.477647058824
"108",17107,"Cavalry",302.835882352941
"109",17108,"Regiment,",466.369411764706
"110",17109,"""The",401.727647058824
"111",17110,"Fighting",526.994705882353
"112",17111,"Seventh.""",492.521764705882
"113",17112,"Today",355.517647058824
"114",17113,"a",274.722352941176
"115",17114,"battle",409.436470588235
"116",17115,"cry",303.166470588235
"117",17116,"may",291.488235294118
"118",17117,"seem",293.771764705882
"119",17118,"an",273.805294117647
"120",17119,"anachronism,",716.738235294118
"121",17120,"for",509.606470588235
"122",17121,"in",347.954117647059
"123",17122,"the",374.945882352941
"124",17123,"modern",307.013529411765
"125",17124,"Army,",288.257647058824
"126",17125,"esprit",378.564705882353
"127",17126,"de",405.204117647059
"128",17127,"corps",443.555294117647
"129",17128,"has",321.235294117647
"130",17129,"been",442.221764705882
"131",17130,"sacrificed",474.886470588235
"132",17131,"to",306.217647058824
"133",17132,"organizational",411.562941176471
"134",17133,"charts",388.888823529412
"135",17134,"and",305.539411764706
"136",17135,"tables.",309.375294117647
"137",17136,"But",269.367058823529
"138",17137,"don't",264.171764705882
"139",17138,"tell",272.007058823529
"140",17139,"that",265.37
"141",17140,"to",274.923529411765
"142",17141,"a",274.108235294118
"143",17142,"veteran",255.722352941176
"144",17143,"of",275.018823529412
"145",17144,"the",236.718235294118
"146",17145,"Fighting",255.568823529412
"147",17146,"Seventh,",312.652352941176
"148",17147,"especially",364.965294117647
"149",17148,"in",282.747647058824
"150",17149,"a",275.966470588235
"151",17150,"saloon",263.244117647059
"152",17151,"on",315.301176470588
"153",17152,"Saturday",295.507647058824
"154",17153,"night.",294.112352941176
"155",17154,"Of",295.113529411765
"156",17155,"all",296.296470588235
"157",17156,"the",279.131176470588
"158",17157,"thousands",326.942941176471
"159",17158,"of",279.298235294118
"160",17159,"men",248.67
"161",17160,"who",270.323529411765
"162",17161,"have",279.400588235294
"163",17162,"served",252.843529411765
"164",17163,"in",267.595294117647
"165",17164,"the",253.782941176471
"166",17165,"7th",261.472352941176
"167",17166,"Cav,",242.301764705882
"168",17167,"perhaps",343.655294117647
"169",17168,"no",336.947647058824
"170",17169,"one",263.095294117647
"171",17170,"knows",257.429411764706
"172",17171,"its",300.857058823529
"173",17172,"spirit",252.798235294118
"174",17173,"better",289.185882352941
"175",17174,"than",261.221176470588
"176",17175,"Lieutenant",332.261764705882
"177",17176,"Colonel",319.592352941176
"178",17177,"Melbourne",407.347058823529
"179",17178,"C.",507.647058823529
"180",17179,"Chandler.",460.680588235294
"181",17180,"Wiry",298.286470588235
"182",17181,"and",315.156470588235
"183",17182,"burr-headed,",397.89
"184",17183,"with",421.201176470588
"185",17184,"steel",307.047647058824
"186",17185,"blue",348.546470588235
"187",17186,"eyes",346.834705882353
"188",17187,"and",285.054705882353
"189",17188,"a",310.411764705882
"190",17189,"chest",266.573529411765
"191",17190,"splattered",322.075882352941
"192",17191,"with",336.084117647059
"193",17192,"medals,",311.957058823529
"194",17193,"Chandler",477.984705882353
"195",17194,"is",294.910588235294
"196",17195,"the",244.48
"197",17196,"epitome",304.897647058824
"198",17197,"of",344.656470588235
"199",17198,"the",265.625294117647
"200",17199,"old-time",336.190588235294
"201",17200,"trooper.",300.150588235294
"202",17201,"The",268.848823529412
"203",17202,"truth",276.819411764706
"204",17203,"is,",272.542352941176
"205",17204,"however,",314.717647058824
"206",17205,"that",310.700588235294
"207",17206,"when",285.203529411765
"208",17207,"Mel",251.268235294118
"209",17208,"Chandler",293.81
"210",17209,"first",331.524117647059
"211",17210,"reported",278.855294117647
"212",17211,"to",293.722352941176
"213",17212,"the",281.915294117647
"214",17213,"regiment",321.389411764706
"215",17214,"the",271.861176470588
"216",17215,"only",291.605882352941
"217",17216,"steed",302.565294117647
"218",17217,"he",411.500588235294
"219",17218,"had",320.284117647059
"220",17219,"ever",301.982352941176
"221",17220,"ridden",278.221764705882
"222",17221,"was",326.659411764706
"223",17222,"a",270.392352941176
"224",17223,"swivel",288.407647058823
"225",17224,"chair",311.005294117647
"226",17225,"and",329.91
"227",17226,"the",332.918235294118
"228",17227,"only",295
"229",17228,"weapon",281.766470588235
"230",17229,"he",269.334117647059
"231",17230,"had",241.239411764706
"232",17231,"ever",274.826470588235
"233",17232,"wielded",293.922352941176
"234",17233,"was",272.37
"235",17234,"a",271.253529411765
"236",17235,"pencil.",337.73
"237",17236,"Chandler",283.472352941176
"238",17237,"had",324.824117647059
"239",17238,"been",267.463529411765
"240",17239,"commissioned",418.044705882353
"241",17240,"in",319.584117647059
"242",17241,"the",254.708235294118
"243",17242,"Medical",300.033529411765
"244",17243,"Service",293.218823529412
"245",17244,"Corps",280.138235294118
"246",17245,"and",275.543529411765
"247",17246,"was",254.661176470588
"248",17247,"serving",275.527647058824
"249",17248,"as",247.243529411765
"250",17249,"a",248.360588235294
